batter,ACI,ACI_HUNT,ACI_2K,ACI_RISP,Pitches,ACI_20,ACI_40,ACI_80,player_name,batting_team
681351,0.286,0.209,0.384,0.299,552,0.278,0.266,0.295,logan o'hoppe,LAA
671218,0.286,0.239,0.362,0.298,755,0.234,0.28,0.308,heliot ramos,SF
657656,0.284,0.236,0.354,0.335,893,0.267,0.3,0.292,ramón laureano,SD
607043,0.284,0.246,0.345,0.316,1017,0.322,0.332,0.319,brandon nimmo,TEX
543807,0.284,0.243,0.387,0.366,739,0.228,0.255,0.32,george springer,TOR
683953,0.284,0.217,0.394,0.31,493,0.319,0.301,0.318,travis bazzana,CLE
656305,0.283,0.211,0.384,0.308,954,0.4,0.4,0.349,matt chapman,SF
641343,0.283,0.247,0.41,0.269,792,0.487,0.431,0.387,jake bauers,MIL
696285,0.282,0.19,0.379,0.331,769,0.409,0.345,0.304,jacob young,WSH
686894,0.282,0.225,0.41,0.269,404,0.365,0.381,0.322,joey wiemer,WSH
702332,0.282,0.216,0.355,0.26,695,0.349,0.324,0.317,caleb durbin,BOS
670042,0.281,0.252,0.376,0.32,654,0.405,0.358,0.334,luke raley,SEA
596115,0.281,0.251,0.339,0.263,718,0.369,0.361,0.298,trevor story,BOS
680977,0.281,0.203,0.364,0.233,455,0.451,0.374,0.329,brendan donovan,SEA
694377,0.281,0.312,0.292,0.308,409,0.363,0.388,0.329,nick yorke,PIT
664761,0.281,0.258,0.36,0.267,811,0.394,0.353,0.34,alec bohm,PHI
665019,0.281,0.225,0.369,0.303,747,0.237,0.243,0.272,kody clemens,MIN
664040,0.281,0.229,0.36,0.33,979,0.257,0.259,0.313,brandon lowe,PIT
655316,0.281,0.212,0.333,0.37,463,0.368,0.325,0.313,andruw monasterio,BOS
664023,0.281,0.206,0.387,0.274,1062,0.245,0.308,0.327,ian happ,CHC
694728,0.28,0.216,0.375,0.26,714,0.193,0.309,0.326,brice matthews,HOU
691720,0.28,0.199,0.398,0.293,843,0.402,0.375,0.373,kyle karros,COL
519317,0.279,0.202,0.368,0.237,451,0.383,0.333,0.316,giancarlo stanton,NYY
677950,0.279,0.255,0.277,0.268,426,0.244,0.243,0.298,alek thomas,AZ
518692,0.279,0.238,0.366,0.294,1028,0.269,0.296,0.288,freddie freeman,LAD
668715,0.279,0.213,0.373,0.281,890,0.322,0.32,0.331,spencer steer,CIN
666176,0.278,0.254,0.337,0.244,988,0.234,0.258,0.302,jo adell,LAA
686780,0.277,0.232,0.337,0.275,523,0.416,0.377,0.332,pedro pagés,STL
621438,0.276,0.253,0.241,0.195,416,0.34,0.321,0.314,tyrone taylor,NYM
669004,0.276,0.198,0.374,0.27,362,0.273,0.291,0.291,mj melendez,NYM
665966,0.276,0.189,0.332,0.298,543,0.257,0.291,0.284,carlos narváez,BOS
682998,0.276,0.255,0.378,0.335,927,0.319,0.326,0.33,corbin carroll,AZ
660271,0.276,0.242,0.365,0.266,996,0.331,0.302,0.303,shohei ohtani,LAD
678882,0.276,0.226,0.323,0.271,859,0.343,0.361,0.314,ceddanne rafaela,BOS
643289,0.276,0.224,0.299,0.288,852,0.321,0.294,0.296,mauricio dubón,ATL
687637,0.276,0.219,0.379,0.252,515,0.331,0.326,0.31,dylan beavers,BAL
802139,0.275,0.207,0.411,0.271,1057,0.208,0.253,0.273,jj wetherholt,STL
802415,0.275,0.237,0.343,0.321,797,0.223,0.273,0.314,chandler simpson,TB
682928,0.274,0.258,0.31,0.302,1002,0.354,0.303,0.307,cj abrams,WSH
571970,0.274,0.226,0.336,0.288,882,0.3,0.283,0.308,max muncy,LAD
665804,0.274,0.22,0.359,0.278,460,0.512,0.381,0.327,miguel amaya,CHC
687231,0.274,0.212,0.333,0.263,493,0.329,0.334,0.32,darell hernaiz,ATH
673548,0.274,0.205,0.414,0.243,767,0.298,0.277,0.291,seiya suzuki,CHC
677800,0.274,0.236,0.33,0.298,954,0.405,0.342,0.287,wilyer abreu,BOS
680700,0.273,0.227,0.286,0.303,502,0.407,0.356,0.338,richie palacios,TB
670764,0.273,0.204,0.397,0.287,616,0.303,0.281,0.301,taylor walls,TB
642086,0.273,0.232,0.333,0.267,495,0.376,0.318,0.331,dominic smith,ATL
666397,0.273,0.257,0.376,0.288,737,0.264,0.314,0.35,edouard julien,COL
650490,0.272,0.213,0.366,0.223,887,0.371,0.395,0.337,yandy díaz,TB
678554,0.271,0.204,0.387,0.249,667,0.317,0.247,0.281,curtis mead,WSH
672275,0.271,0.265,0.367,0.288,516,0.354,0.32,0.349,patrick bailey,SF
807712,0.271,0.217,0.393,0.292,870,0.409,0.389,0.345,luke keaschall,MIN
630105,0.271,0.186,0.358,0.294,550,0.338,0.31,0.3,jake cronenworth,SD
650402,0.27,0.199,0.419,0.211,662,0.354,0.325,0.301,gleyber torres,DET
691777,0.27,0.243,0.314,0.287,466,0.322,0.359,0.346,max muncy,ATH
620443,0.27,0.211,0.307,0.296,393,0.349,0.32,0.312,luis torrens,NYM
687263,0.27,0.248,0.377,0.237,1113,0.265,0.277,0.289,zach neto,LAA
683146,0.269,0.24,0.32,0.263,850,0.301,0.289,0.295,brett baty,NYM
641598,0.269,0.2,0.372,0.342,427,0.242,0.298,0.266,mitch garver,SEA
686948,0.269,0.249,0.311,0.241,900,0.426,0.337,0.313,drake baldwin,ATL
687363,0.269,0.224,0.384,0.264,610,0.238,0.322,0.296,victor scott,STL
808975,0.269,0.206,0.33,0.217,588,0.227,0.28,0.284,hyeseong kim,LAD
694192,0.268,0.179,0.399,0.261,414,0.259,0.257,0.261,jackson chourio,MIL
650333,0.268,0.23,0.241,0.271,858,0.342,0.317,0.3,luis arráez,SF
663757,0.268,0.211,0.455,0.261,914,0.417,0.315,0.303,trent grisham,NYY
665926,0.267,0.261,0.241,0.274,759,0.262,0.316,0.28,andrés giménez,TOR
683002,0.267,0.266,0.308,0.276,1058,0.308,0.318,0.301,gunnar henderson,BAL
665833,0.266,0.246,0.374,0.269,1071,0.3,0.275,0.271,oneil cruz,PIT
666152,0.266,0.234,0.321,0.27,621,0.47,0.381,0.324,david hamilton,MIL
686797,0.265,0.266,0.313,0.3,908,0.279,0.289,0.294,brooks lee,MIN
676475,0.265,0.218,0.309,0.276,897,0.265,0.297,0.309,alec burleson,STL
681715,0.265,0.193,0.427,0.264,411,0.23,0.225,0.278,heriberto hernandez,MIA
621566,0.265,0.235,0.339,0.243,1169,0.346,0.241,0.246,matt olson,ATL
682626,0.265,0.198,0.351,0.182,567,0.247,0.288,0.281,francisco álvarez,NYM
694208,0.264,0.235,0.374,0.349,605,0.372,0.343,0.363,moisés ballesteros,CHC
676391,0.264,0.269,0.182,0.264,711,0.391,0.382,0.34,ernie clement,TOR
664056,0.264,0.255,0.296,0.347,420,0.289,0.334,0.285,harrison bader,SF
670770,0.264,0.226,0.373,0.264,697,0.242,0.266,0.275,tj friedl,CIN
689414,0.264,0.236,0.305,0.299,792,0.411,0.351,0.327,liam hicks,MIA
680777,0.264,0.173,0.435,0.267,690,0.288,0.264,0.266,ryan jeffers,MIN
660844,0.263,0.172,0.427,0.296,630,0.222,0.232,0.268,leo rivas,SEA
702284,0.263,0.215,0.349,0.29,954,0.375,0.368,0.34,cole young,SEA
592626,0.263,0.214,0.358,0.259,726,0.288,0.313,0.306,joc pederson,TEX
624585,0.263,0.195,0.392,0.262,981,0.185,0.219,0.279,jorge soler,LAA
690976,0.263,0.219,0.406,0.194,540,0.265,0.267,0.261,alex freeland,LAD
676914,0.262,0.185,0.387,0.24,461,0.352,0.326,0.283,davis schneider,TOR
663647,0.262,0.206,0.372,0.198,484,0.236,0.25,0.275,ke'bryan hayes,CIN
641933,0.262,0.208,0.39,0.252,469,0.263,0.273,0.266,tyler o'neill,BAL
672960,0.262,0.23,0.348,0.245,1007,0.205,0.215,0.285,kazuma okamoto,TOR
665862,0.262,0.213,0.382,0.249,958,0.292,0.316,0.319,jazz chisholm,NYY
677587,0.262,0.232,0.265,0.261,855,0.308,0.368,0.368,brayan rocchio,CLE
701538,0.262,0.232,0.355,0.275,932,0.467,0.339,0.266,jackson merrill,SD
521692,0.262,0.236,0.359,0.314,856,0.318,0.28,0.294,salvador pérez,KC
686452,0.261,0.226,0.289,0.229,418,0.341,0.37,0.309,drew millas,WSH
805300,0.261,0.201,0.383,0.277,959,0.313,0.339,0.278,jakob marsee,MIA
679529,0.261,0.206,0.38,0.31,1017,0.334,0.307,0.311,spencer torkelson,DET
691723,0.26,0.167,0.375,0.234,668,0.302,0.244,0.277,coby mayo,BAL
800050,0.26,0.24,0.34,0.27,915,0.248,0.263,0.245,chase delauter,CLE
663993,0.26,0.182,0.371,0.264,619,0.342,0.367,0.31,nathaniel lowe,CIN
701358,0.259,0.229,0.36,0.225,925,0.32,0.278,0.277,cam smith,HOU
682985,0.259,0.205,0.38,0.237,1068,0.462,0.354,0.342,riley greene,DET
661388,0.259,0.192,0.402,0.309,839,0.236,0.324,0.3,william contreras,MIL
663728,0.258,0.222,0.334,0.274,868,0.281,0.281,0.273,cal raleigh,SEA
592450,0.257,0.2,0.383,0.233,1112,0.318,0.263,0.325,aaron judge,NYY
677588,0.257,0.243,0.337,0.237,529,0.335,0.302,0.264,josé tena,WSH
676439,0.257,0.192,0.33,0.267,358,0.326,0.315,0.307,hunter feduccia,TB
695578,0.256,0.185,0.415,0.213,1270,0.327,0.3,0.274,james wood,WSH
700250,0.256,0.213,0.372,0.205,942,0.32,0.3,0.301,ben rice,NYY
592518,0.255,0.208,0.338,0.257,932,0.304,0.274,0.292,manny machado,SD
605170,0.255,0.228,0.309,0.25,619,0.328,0.28,0.33,víctor caratini,MIN
700337,0.254,0.195,0.382,0.315,566,0.225,0.228,0.234,edgar quero,CWS
669003,0.253,0.219,0.388,0.269,797,0.254,0.235,0.247,garrett mitchell,MIL
686469,0.253,0.224,0.339,0.261,905,0.303,0.325,0.32,vinnie pasquantino,KC
668904,0.252,0.26,0.267,0.261,559,0.337,0.321,0.309,royce lewis,MIN
514888,0.252,0.207,0.352,0.225,718,0.346,0.307,0.315,josé altuve,HOU
680574,0.251,0.188,0.368,0.281,924,0.343,0.282,0.304,matt mclain,CIN
596019,0.25,0.205,0.352,0.259,544,0.277,0.286,0.269,francisco lindor,NYM
641857,0.25,0.23,0.31,0.251,684,0.274,0.312,0.33,ryan mcmahon,NYY
681481,0.25,0.179,0.38,0.224,564,0.308,0.271,0.256,kerry carpenter,DET
805779,0.25,0.249,0.221,0.272,612,0.366,0.31,0.33,jacob wilson,ATH
693307,0.25,0.208,0.315,0.278,905,0.337,0.316,0.292,dillon dingler,DET
666126,0.25,0.238,0.29,0.29,669,0.26,0.228,0.274,carlos cortes,ATH
666310,0.249,0.207,0.346,0.27,473,0.282,0.254,0.263,bo naylor,CLE
668885,0.249,0.194,0.412,0.233,750,0.379,0.381,0.32,austin martin,MIN
691718,0.249,0.201,0.327,0.239,927,0.249,0.223,0.252,pete crow-armstrong,CHC
672515,0.249,0.184,0.314,0.256,558,0.252,0.252,0.272,gabriel moreno,AZ
663968,0.248,0.228,0.221,0.237,443,0.327,0.286,0.259,jake mangum,PIT
596142,0.248,0.147,0.412,0.216,516,0.252,0.278,0.294,gary sánchez,MIL
624413,0.248,0.177,0.361,0.244,1102,0.192,0.256,0.249,pete alonso,BAL
672761,0.248,0.181,0.374,0.333,541,0.22,0.249,0.235,wenceel pérez,DET
695734,0.248,0.235,0.311,0.232,941,0.364,0.351,0.292,daylen lile,WSH
608070,0.247,0.198,0.324,0.224,1129,0.198,0.309,0.287,josé ramírez,CLE
663616,0.247,0.182,0.366,0.282,665,0.202,0.283,0.302,trevor larnach,MIN
683357,0.246,0.184,0.375,0.258,691,0.283,0.312,0.304,owen caissie,MIA
668227,0.245,0.192,0.355,0.269,1056,0.31,0.347,0.29,randy arozarena,SEA
660688,0.245,0.26,0.193,0.201,437,0.464,0.378,0.318,keibert ruiz,WSH
691016,0.245,0.2,0.369,0.235,866,0.173,0.215,0.232,tyler soderstrom,ATH
673962,0.245,0.196,0.372,0.219,797,0.258,0.294,0.263,josh jung,TEX
668939,0.245,0.186,0.32,0.278,732,0.324,0.271,0.289,adley rutschman,BAL
681297,0.244,0.178,0.364,0.188,577,0.211,0.251,0.25,colton cowser,BAL
677951,0.244,0.21,0.324,0.221,956,0.252,0.318,0.28,bobby witt,KC
621493,0.243,0.13,0.464,0.274,1151,0.305,0.265,0.292,taylor ward,BAL
669701,0.243,0.163,0.369,0.179,514,0.277,0.243,0.28,josh smith,TEX
808959,0.242,0.179,0.421,0.2,1168,0.276,0.246,0.253,munetaka murakami,CWS
686527,0.242,0.179,0.346,0.267,537,0.221,0.229,0.26,dominic canzone,SEA
645277,0.242,0.215,0.318,0.247,971,0.296,0.309,0.269,ozzie albies,ATL
573262,0.241,0.187,0.344,0.249,692,0.196,0.222,0.235,mike yastrzemski,ATL
676356,0.241,0.191,0.285,0.221,514,0.245,0.263,0.286,jonny deluca,TB
680728,0.241,0.159,0.377,0.295,510,0.266,0.259,0.249,adrian del castillo,AZ
807799,0.241,0.196,0.28,0.245,490,0.224,0.241,0.277,masataka yoshida,BOS
656811,0.241,0.193,0.31,0.26,814,0.269,0.254,0.255,ryan o'hearn,PIT
691026,0.24,0.167,0.316,0.255,913,0.278,0.256,0.289,masyn winn,STL
807713,0.24,0.167,0.291,0.253,513,0.229,0.265,0.302,matt shaw,CHC
656941,0.24,0.203,0.355,0.271,1047,0.228,0.229,0.252,kyle schwarber,PHI
671056,0.239,0.207,0.316,0.259,1007,0.292,0.219,0.222,iván herrera,STL
670541,0.239,0.218,0.324,0.169,1025,0.261,0.24,0.319,yordan álvarez,HOU
667472,0.239,0.171,0.379,0.301,452,0.209,0.205,0.235,dane myers,CIN
681624,0.239,0.228,0.268,0.237,1027,0.334,0.271,0.292,andy pages,LAD
502671,0.238,0.207,0.299,0.291,487,0.203,0.292,0.29,paul goldschmidt,NYY
682668,0.238,0.197,0.33,0.252,442,0.262,0.271,0.282,luisangel acuña,CWS
676609,0.237,0.218,0.276,0.217,704,0.287,0.298,0.282,josé caballero,NYY
545121,0.237,0.216,0.131,0.219,738,0.307,0.324,0.313,ildemaro vargas,AZ
681807,0.237,0.155,0.372,0.25,464,0.23,0.197,0.231,david fry,CLE
694384,0.236,0.216,0.29,0.262,894,0.258,0.254,0.266,nolan schanuel,LAA
805808,0.236,0.192,0.368,0.214,1064,0.383,0.237,0.264,kevin mcgonigle,DET
641355,0.236,0.185,0.388,0.277,937,0.282,0.291,0.302,cody bellinger,NYY
668930,0.236,0.187,0.324,0.238,1018,0.27,0.323,0.303,brice turang,MIL
691406,0.235,0.2,0.345,0.186,974,0.308,0.302,0.293,junior caminero,TB
669477,0.235,0.212,0.289,0.193,749,0.223,0.278,0.279,casey schmitt,SF
687551,0.235,0.207,0.328,0.208,494,0.174,0.269,0.287,drew gilbert,SF
543309,0.234,0.14,0.398,0.305,435,0.252,0.251,0.264,kyle higashioka,TEX
571448,0.234,0.172,0.314,0.207,837,0.285,0.243,0.307,nolan arenado,AZ
605141,0.234,0.167,0.339,0.28,453,0.249,0.231,0.246,mookie betts,LAD
606466,0.234,0.18,0.323,0.224,855,0.229,0.21,0.235,ketel marte,AZ
672695,0.234,0.152,0.362,0.24,945,0.403,0.313,0.269,geraldo perdomo,AZ
665742,0.233,0.187,0.39,0.227,686,0.24,0.232,0.296,juan soto,NYM
543877,0.233,0.198,0.302,0.267,489,0.185,0.25,0.261,christian vázquez,HOU
701807,0.233,0.22,0.27,0.279,903,0.256,0.314,0.269,carson benge,NYM
701762,0.232,0.171,0.375,0.222,1170,0.295,0.276,0.272,nick kurtz,ATH
592885,0.232,0.197,0.282,0.195,508,0.338,0.315,0.266,christian yelich,MIL
695506,0.232,0.16,0.385,0.217,719,0.255,0.238,0.246,jac caglianone,KC
542303,0.232,0.157,0.359,0.253,913,0.233,0.237,0.244,marcell ozuna,PIT
687093,0.232,0.145,0.348,0.233,491,0.262,0.265,0.273,vaughn grissom,LAA
672580,0.231,0.148,0.425,0.222,940,0.182,0.222,0.245,maikel garcía,KC
641487,0.23,0.139,0.413,0.204,838,0.177,0.219,0.274,j. p. crawford,SEA
686555,0.23,0.182,0.365,0.239,744,0.299,0.238,0.243,isaac collins,KC
803011,0.23,0.182,0.339,0.207,644,0.28,0.236,0.235,sam antonacci,CWS
686217,0.23,0.132,0.367,0.273,801,0.154,0.207,0.24,sal frelick,MIL
608324,0.229,0.167,0.347,0.25,1053,0.264,0.208,0.251,alex bregman,CHC
810938,0.229,0.179,0.307,0.22,612,0.315,0.298,0.275,ben williamson,TB
621043,0.227,0.158,0.345,0.212,629,0.241,0.306,0.267,carlos correa,HOU
699912,0.226,0.16,0.315,0.191,606,0.316,0.292,0.284,jose fernandez,AZ
694374,0.226,0.168,0.299,0.225,363,0.347,0.302,0.261,tim tawa,AZ
624641,0.226,0.212,0.213,0.315,399,0.348,0.359,0.271,edmundo sosa,PHI
687401,0.225,0.191,0.273,0.2,596,0.26,0.25,0.245,joey ortiz,MIL
672640,0.224,0.176,0.252,0.231,896,0.271,0.239,0.227,otto lopez,MIA
663837,0.224,0.178,0.256,0.198,700,0.284,0.306,0.272,matt vierling,DET
805367,0.223,0.127,0.305,0.246,1057,0.255,0.222,0.218,chase meidroth,CWS
681082,0.223,0.166,0.26,0.239,811,0.197,0.252,0.245,bryson stott,PHI
670623,0.223,0.151,0.333,0.206,992,0.136,0.134,0.194,isaac paredes,HOU
